,Unnamed: 0,X,X_acc,Y,Y_acc,Z,Z_acc,Roll,Roll_acc,Pitch,Pitch_acc,Yaw,Yaw_acc
19581,Tautra_20170307_131705_3_19581.png,575302.6611585324,1.5,7052794.032906929,1.5,-82.79379545637714,0.5,3.210492461242937,1.0,3.237803762281002,1.0,46.86823823976683,3.0
19582,Tautra_20170307_131705_3_19582.png,575302.6754782025,1.5,7052794.056390717,1.5,-82.76736925932578,0.5,3.0540917666320286,1.0,3.6612274073444318,1.0,46.958975251379314,3.0
19583,Tautra_20170307_131705_3_19583.png,575302.6974030953,1.5,7052794.088135052,1.5,-82.72647742898968,0.5,2.9089444579513173,1.0,4.1777783371624935,1.0,48.45947296106337,3.0
19584,Tautra_20170307_131705_3_19584.png,575302.7193643,1.5,7052794.119931961,1.5,-82.68413222452699,0.5,2.8237104444400223,1.0,4.642259937172429,1.0,48.02272738292343,3.0
19585,Tautra_20170307_131705_3_19585.png,575302.7414023625,1.5,7052794.15184015,1.5,-82.64163882461429,0.5,2.897207061069511,1.0,5.09933843913768,1.0,50.27405037995562,3.0
19586,Tautra_20170307_131705_3_19586.png,575302.7633218158,1.5,7052794.18357661,1.5,-82.59937412486404,0.5,3.025483841210105,1.0,5.394062610403759,1.0,50.15709967360837,3.0
19587,Tautra_20170307_131705_3_19587.png,575302.7852489165,1.5,7052794.215324143,1.5,-82.55709467939238,0.5,3.1486850422245944,1.0,5.608888419793217,1.0,51.36607015520166,3.0
19588,Tautra_20170307_131705_3_19588.png,575302.8228501091,1.5,7052794.2605215665,1.5,-82.51084791631452,0.5,3.273415681877339,1.0,5.778630645047665,1.0,51.88308628441861,3.0
19589,Tautra_20170307_131705_3_19589.png,575302.8641632771,1.5,7052794.309021925,1.5,-82.46392075738181,0.5,3.3313155657845086,1.0,5.796227631209238,1.0,53.512374562298966,3.0
19590,Tautra_20170307_131705_3_19590.png,575302.9053598461,1.5,7052794.357385401,1.5,-82.41712604201167,0.5,3.336749301311641,1.0,5.783107700233394,1.0,52.535589121277695,3.0
19591,Tautra_20170307_131705_3_19591.png,575302.9466133944,1.5,7052794.405815767,1.5,-82.37026660442505,0.5,3.2678271542364214,1.0,5.648368368666594,1.0,52.235869735676836,3.0
19592,Tautra_20170307_131705_3_19592.png,575302.9878856258,1.5,7052794.454268067,1.5,-82.32338594500345,0.5,3.2998890217794896,1.0,5.577095821280733,1.0,53.52163033735423,3.0
19593,Tautra_20170307_131705_3_19593.png,575303.0257689289,1.5,7052794.497683431,1.5,-82.27805312448484,0.5,3.719327394376924,1.0,5.602266998953537,1.0,52.26306007129282,3.0
19594,Tautra_20170307_131705_3_19594.png,575303.0389262617,1.5,7052794.504253428,1.5,-82.23281235224722,0.5,4.458247961529888,1.0,5.615218317171784,1.0,52.689064940688525,3.0
19595,Tautra_20170307_131705_3_19595.png,575303.0520753554,1.5,7052794.510819314,1.5,-82.18759990911767,0.5,5.150553042937028,1.0,5.762976949063519,1.0,51.60512683493996,3.0
19596,Tautra_20170307_131705_3_19596.png,575303.0652224604,1.5,7052794.517384206,1.5,-82.1423943045163,0.5,6.001234078544472,1.0,6.133624810891728,1.0,51.302069194053715,3.0
19597,Tautra_20170307_131705_3_19597.png,575303.0783775208,1.5,7052794.52395307,1.5,-82.09716134580255,0.5,6.60041966358334,1.0,6.676643630274572,1.0,50.37228947398985,3.0
19598,Tautra_20170307_131705_3_19598.png,575303.0915247069,1.5,7052794.530518003,1.5,-82.06592662628489,0.5,7.038136086343948,1.0,7.169629390013088,1.0,48.77815345726331,3.0
19599,Tautra_20170307_131705_3_19599.png,575303.1119918533,1.5,7052794.541248696,1.5,-82.03602224334941,0.5,7.259667555617821,1.0,7.623346727801829,1.0,47.91931634079534,3.0
19600,Tautra_20170307_131705_3_19600.png,575303.1461279079,1.5,7052794.559759944,1.5,-82.00614506497077,0.5,7.419207514631548,1.0,8.025882987429407,1.0,47.17357904145792,3.0
19601,Tautra_20170307_131705_3_19601.png,575303.1802914871,1.5,7052794.578286118,1.5,-81.9762437960493,0.5,7.425306693561446,1.0,8.477086756697283,1.0,49.57888756939324,3.0
19602,Tautra_20170307_131705_3_19602.png,575303.2144818571,1.5,7052794.59682682,1.5,-81.94631907872059,0.5,7.474668114308004,1.0,8.760142869167854,1.0,49.03426179717598,3.0
19603,Tautra_20170307_131705_3_19603.png,575303.2486902776,1.5,7052794.61537731,1.5,-81.93922718030669,0.5,7.509180013007801,1.0,8.93750963027286,1.0,49.16139003219642,3.0
19604,Tautra_20170307_131705_3_19604.png,575303.2828579614,1.5,7052794.63390571,1.5,-81.93384798040681,0.5,7.580899693703053,1.0,9.046483621042194,1.0,51.8143033939117,3.0
19605,Tautra_20170307_131705_3_19605.png,575303.2952422993,1.5,7052794.647617172,1.5,-81.92842425760135,0.5,7.654912117778706,1.0,9.14016616954768,1.0,53.072842491436866,3.0
19606,Tautra_20170307_131705_3_19606.png,575303.291185261,1.5,7052794.657455054,1.5,-81.92308507250681,0.5,7.758543940210478,1.0,9.157589617339513,1.0,54.18286363019946,3.0
19607,Tautra_20170307_131705_3_19607.png,575303.2871035644,1.5,7052794.66735273,1.5,-81.91771343636229,0.5,7.604971499318918,1.0,9.171981961536297,1.0,54.90639519868548,3.0
19608,Tautra_20170307_131705_3_19608.png,575303.2830127879,1.5,7052794.677272424,1.5,-81.93245286357511,0.5,7.350097548092277,1.0,9.0626777988309,1.0,56.42780574923864,3.0
19609,Tautra_20170307_131705_3_19609.png,575303.2789370149,1.5,7052794.687155738,1.5,-81.94887750518562,0.5,7.121675004255723,1.0,8.85734693698486,1.0,55.51065615278099,3.0
19610,Tautra_20170307_131705_3_19610.png,575303.2748499659,1.5,7052794.697066393,1.5,-81.96534758640331,0.5,6.836183499335253,1.0,8.670229855096803,1.0,56.38243184599348,3.0
19611,Tautra_20170307_131705_3_19611.png,575303.281845898,1.5,7052794.692755547,1.5,-81.98181895532217,0.5,6.4238672237587595,1.0,8.351973422698524,1.0,56.00152035806089,3.0
19612,Tautra_20170307_131705_3_19612.png,575303.2905601076,1.5,7052794.6862371825,1.5,-81.99828113957737,0.5,5.987833025352536,1.0,8.04272216883491,1.0,55.1929598717549,3.0
19613,Tautra_20170307_131705_3_19613.png,575303.2992776287,1.5,7052794.6797163375,1.5,-82.02069996753787,0.5,5.584936732885059,1.0,7.740935383332121,1.0,56.141136830165145,3.0
