,0
165,-0.34886006
166,-0.3478549
167,-0.3468489
168,-0.34584206
169,-0.34483427
170,-0.34382558
171,-0.342816
172,-0.3418056
173,-0.34079424
174,-0.33978206
175,-0.33876896
176,-0.337755
177,-0.3367401
178,-0.33572435
179,-0.3347078
180,-0.33369032
181,-0.33267197
182,-0.33165273
183,-0.3306326
184,-0.3296117
185,-0.32858983
186,-0.32756716
187,-0.32654363
188,-0.32551917
189,-0.32449389
190,-0.3234678
191,-0.3224408
192,-0.32141295
193,-0.32038426
194,-0.3193547
195,-0.31832436
196,-0.31729314
197,-0.31626102
198,-0.3152281
199,-0.31419435
200,-0.3131598
201,-0.3121243
202,-0.31108806
203,-0.31005096
204,-0.309013
205,-0.30797425
206,-0.30693465
207,-0.30589432
208,-0.30485296
209,-0.30381095
210,-0.30276808
211,-0.30172437
212,-0.30067986
213,-0.29963452
214,-0.2985884
215,-0.29754144
216,-0.29649368
217,-0.2954451
218,-0.29439571
219,-0.29334554
220,-0.2922946
221,-0.29124284
222,-0.29019022
223,-0.28913692
224,-0.28808275
225,-0.2870278
226,-0.28597212
227,-0.28491557
228,-0.2838583
229,-0.28280023
230,-0.28174135
231,-0.28068176
232,-0.27962133
233,-0.27856013
234,-0.27749822
235,-0.27643552
236,-0.275372
237,-0.2743078
238,-0.27324277
239,-0.272177
240,-0.27111048
241,-0.2700432
242,-0.2689752
243,-0.2679064
244,-0.26683688
245,-0.26576665
246,-0.2646956
247,-0.26362386
248,-0.26255134
249,-0.26147813
250,-0.2604042
251,-0.25932947
252,-0.25825402
253,-0.2571779
254,-0.25610104
255,-0.25502345
256,-0.2539451
257,-0.2528661
258,-0.25178635
259,-0.2507059
260,-0.24962473
261,-0.24854282
262,-0.24746025
263,-0.24637696
264,-0.245293
265,-0.2442083
266,-0.24312294
267,-0.24203686
268,-0.2409501
269,-0.23986267
270,-0.23877454
271,-0.23768571
272,-0.23659621
273,-0.23550603
274,-0.23441517
275,-0.2333237
